accuracy,precision,recall,f1_score,roc_auc,brier_score,log_loss,ece,model,family
0.5430894308943089,0.5430894308943089,1.0,0.7038988408851422,0.5,0.24887805338652516,0.6909212598892995,0.027106317369214428,Baseline (Mando),Baseline
0.6382113821138211,0.6533700137551581,0.7110778443113772,0.6810035842293907,0.689579026999382,0.2215004083373755,0.6334640437365802,0.019453099318442874,Regressão Logística,Baseline
0.6333333333333333,0.6347826086956522,0.7649700598802395,0.6938221317040054,0.6889743644383832,0.22212722877638352,0.6348438765885771,0.025926018019763096,Random Forest,Baseline
0.6325203252032521,0.6343283582089553,0.7634730538922155,0.6929347826086957,0.6904806934174356,0.22126650689094046,0.6322081988467845,0.024764195884146332,RNA Clássica (MLP),RNA
0.6447154471544716,0.6475095785440613,0.7589820359281437,0.698828394210889,0.6979603959341104,0.2189059208442525,0.6273637752033872,0.023503497364075206,Deep ResNet MLP,Deep Learning
0.634959349593496,0.6527196652719666,0.7005988023952096,0.675812274368231,0.6731172885545635,0.22668191464693566,0.6454142413500393,0.029820586413871943,Dual-Branch LSTM,Deep Learning
0.6382113821138211,0.6517006802721088,0.7170658682634731,0.6828225231646472,0.677986553583225,0.2245339541082702,0.6404121964991772,0.02337978952299291,Matchup Transformer,Deep Learning
0.6357723577235772,0.6388888888888888,0.7574850299401198,0.6931506849315069,0.692498455047201,0.22098967429365102,0.6323869238230109,0.02727220078271591,Deep Ensemble,Ensemble
